"jc_mean","lack_control","woj","weights"
3,6,"śląskie",0.756021148761346
999,4,"śląskie",1.13367366907655
1.83333333333333,4,"śląskie",1.2244920839978
2.5,4,"śląskie",1.08252073844898
1.5,6,"śląskie",1.08773205625758
2.25,7,"śląskie",0.6696519786364
2.8,6,"śląskie",0.799617985345834
999,6,"śląskie",2.14922214348901
3.16666666666667,5,"śląskie",0.54397362059594
3,5,"śląskie",0.535725914740202
3,5,"śląskie",0.756021148761346
3.66666666666667,6,"śląskie",0.799617985345834
3,2,"śląskie",0.769723117824193
3,3,"śląskie",0.823954933161987
2,4,"śląskie",1.08773205625758
3.66666666666667,4,"śląskie",0.93201567174903
3.5,5,"śląskie",0.840539380924927
2.83333333333333,7,"śląskie",0.993268611305572
3.5,6,"śląskie",1.13367366907655
4.33333333333333,6,"śląskie",0.750706055304501
4,5,"śląskie",0.799617985345834
3.16666666666667,5,"śląskie",0.54397362059594
3.16666666666667,4,"śląskie",0.600569700395643
2.83333333333333,5,"śląskie",0.918927813715123
3.16666666666667,3,"śląskie",0.756021148761346
3.83333333333333,4,"śląskie",0.840539380924927
4.33333333333333,5,"śląskie",0.831385512740687
4.33333333333333,3,"śląskie",0.827921500142325
4.5,3,"śląskie",0.734992141598406
3.83333333333333,5,"śląskie",2.20637096421886
3,5,"śląskie",0.71328286518602
1.66666666666667,4,"śląskie",0.750706055304501
1,1,"śląskie",0.674393199018017
2.66666666666667,1,"śląskie",0.749785958939523
3,5,"śląskie",0.769723117824193
3,2,"śląskie",0.831385512740687
5,1,"śląskie",0.823954933161987
5,1,"śląskie",0.827921500142325
5,3,"śląskie",1.55927186541644
5,2,"śląskie",0.756021148761346
3.66666666666667,5,"śląskie",0.799617985345834
3.5,5,"śląskie",1.91952229000419
3.83333333333333,3,"śląskie",2.14922214348901
3.66666666666667,5,"śląskie",1.49611209515089
3.66666666666667,4,"śląskie",0.862889715692498
4.5,3,"śląskie",0.609462115435083
4,7,"śląskie",1.5465927881986
999,999,"śląskie",0.725745612286523
999,5,"śląskie",0.903511564829541
